Benchmark,purecap-hw,purecap-hw-sw,native-sw,native-nocheck
binarytrees.wasm,10.77;10.76;10.76;10.76;10.76;10.76;10.75;10.76;10.76;10.77;10.76;10.76;10.76;10.77;10.77;10.76;10.77;10.76;10.76;10.77;10.76;10.76;10.76;10.76;10.76;10.77;10.77;10.76;10.76;10.76;10.76,10.77;10.76;10.78;10.77;10.78;10.77;10.77;10.77;10.77;10.78;10.77;10.77;10.77;10.77;10.77;10.78;10.77;10.77;10.77;10.77;10.78;10.76;10.78;10.76;10.77;10.77;10.77;10.77;10.77;10.77;10.77,4.52;4.55;4.53;4.52;4.54;4.54;4.52;4.54;4.54;4.52;4.53;4.52;4.51;4.51;4.52;4.52;4.55;4.52;4.54;4.52;4.52;4.53;4.53;4.53;4.54;4.53;4.52;4.52;4.52;4.53;4.52,4.52;4.41;4.52;4.51;4.52;4.52;4.51;4.51;4.52;4.52;4.51;4.52;4.53;4.52;4.51;4.51;4.59;4.51;4.52;4.53;4.59;4.52;4.50;4.50;4.50;4.52;4.38;4.51;4.53;4.51;4.51
fannkuch.wasm,7.94;7.93;7.93;7.93;7.93;7.93;7.94;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.92;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.93;7.94;7.93;7.93;7.94,7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.98;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95;7.95,3.34;3.35;3.33;3.25;3.33;3.35;3.44;3.34;3.33;3.34;3.33;3.33;3.33;3.35;3.34;3.33;3.33;3.35;3.33;3.35;3.34;3.34;3.34;3.34;3.35;3.34;3.33;3.34;3.34;3.34;3.34,3.39;3.34;3.38;3.35;3.34;3.33;3.34;3.33;3.34;3.34;3.33;3.33;3.32;3.33;3.32;3.35;3.34;3.33;3.34;3.34;3.36;3.34;3.34;3.34;3.33;3.33;3.34;3.34;3.34;3.35;3.35
knucleotide.wasm,6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.01;6.02;6.01;6.01;6.01;6.01;6.01;6.01,6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02;6.02,2.57;2.56;2.56;2.56;2.57;2.57;2.56;2.54;2.55;2.56;2.56;2.56;2.55;2.56;2.55;2.57;2.56;2.56;2.57;2.57;2.55;2.56;2.55;2.56;2.55;2.56;2.56;2.56;2.56;2.56;2.57,2.56;2.56;2.57;2.57;2.56;2.56;2.56;2.55;2.56;2.55;2.57;2.56;2.55;2.56;2.55;2.57;2.55;2.56;2.56;2.56;2.56;2.56;2.55;2.55;2.54;2.57;2.56;2.57;2.54;2.56;2.55
mandelbrot.wasm,7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.11;7.10;7.10;7.11;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.10;7.09;7.10;7.10;7.10;7.10;7.10;7.10,7.10;7.11;7.12;7.10;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.11;7.10;7.11;7.11;7.11;7.11;7.10;7.10;7.11;7.11;7.12,3.02;3.01;3.02;3.01;3.02;3.01;3.02;3.01;3.00;3.01;3.00;3.02;3.01;3.01;3.01;3.02;3.01;3.00;3.01;3.03;3.01;3.00;3.01;3.02;3.03;3.10;3.03;3.01;3.02;3.01;3.03,3.01;3.01;3.02;3.09;3.02;3.02;3.01;3.00;2.93;2.93;3.01;3.02;2.98;3.02;3.01;3.01;3.02;3.03;3.04;3.02;3.01;3.01;3.05;3.03;3.01;3.02;3.02;3.01;3.01;3.02;3.02
memory_copy.wasm,2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.86;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.88;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85;2.85,2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.86;2.87;2.86;2.86;2.86;2.87;2.86;2.86;2.86;2.86;2.86,1.22;1.23;1.23;1.24;1.23;1.23;1.24;1.23;1.24;1.22;1.22;1.23;1.22;1.22;1.22;1.22;1.23;1.21;1.22;1.23;1.23;1.22;1.23;1.22;1.23;1.22;1.23;1.23;1.22;1.23;1.23,1.23;1.22;1.22;1.23;1.23;1.23;1.23;1.22;1.22;1.22;1.22;1.22;1.23;1.22;1.23;1.23;1.23;1.20;1.22;1.22;1.23;1.22;1.22;1.22;1.20;1.22;1.23;1.23;1.22;1.22;1.22
revcomp.wasm,0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29,0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29,0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12,0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12
memory_matrix.wasm,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.30;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31;3.31,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.33;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.33;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32;3.32,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;1.42;1.42;1.42;1.42;1.42;1.42;1.41;1.42;1.46;1.42;1.42;1.42;1.41;1.42;1.38;1.42;1.42;1.42;1.41;1.42;1.42;1.42;1.42;1.41;1.42;1.42;1.42;1.42;1.42;1.42,FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;FAIL;1.42;1.41;1.42;1.41;1.43;1.41;1.41;1.41;1.42;1.40;1.41;1.40;1.37;1.42;1.41;1.40;1.41;1.41;1.41;1.42;1.41;1.42;1.41;1.41;1.41;1.41;1.42;1.40;1.41;1.40
fibonacci_warduino.wasm,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00,0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
memory_copy_w.wasm,15.77;15.78;15.76;15.78;15.78;15.79;15.77;15.80;15.78;15.77;15.77;15.76;15.76;15.76;15.77;15.75;15.76;15.77;15.76;15.77;15.77;15.76;15.77;15.76;15.77;15.77;15.76;15.75;15.77;15.78;15.76;15.75;15.78;15.78;15.79,15.84;15.84;15.85;15.85;15.83;15.84;15.85;15.84;15.85;15.83;15.83;15.86;15.84;15.85;15.85;15.85;15.83;15.83;15.85;15.83;15.84;15.83;15.83;15.84;15.84;15.82;15.82;15.84;15.84;15.84;15.84;15.84;15.83;15.84;15.83,6.78;6.79;6.75;6.78;6.77;6.83;6.79;6.79;6.77;6.89;6.79;6.77;6.81;6.77;6.78;6.76;6.79;6.77;6.76;6.76;6.79;6.76;6.76;6.78;6.77;6.79;6.78;6.76;6.76;6.83;6.76;6.76;6.76;6.77;6.76,6.88;6.79;6.84;6.77;6.78;6.74;6.78;6.78;6.76;6.77;6.80;6.76;6.63;6.79;6.79;6.74;6.76;6.79;6.74;6.76;6.79;6.81;6.77;6.82;6.74;6.76;6.77;6.74;6.78;6.76;6.80;6.89;6.79;6.81;6.75
pidigits.wasm,489.76;489.77;489.80;489.77;489.81;489.79;489.83;489.85;489.82;489.82;489.82;489.86;489.80;489.87;489.83;489.83;489.82;489.82;489.81;489.86;489.80;489.85;489.85;489.80;489.85;489.81;489.83;489.86;489.87;489.80;FAIL;34.88;34.89;34.89;34.89;34.89;34.89;34.90;34.89;34.90;34.90;34.90;34.90;34.90;34.89;34.89;34.89;34.88;34.89;34.89;34.88;34.88;34.89;34.90;34.89;34.91;34.89;34.89;34.89;34.89;34.88;34.89;34.90;34.90;34.89;34.89;34.90;34.89;34.89;34.89;34.91;34.93;34.91;34.92;34.94;34.94;34.91;34.93;34.92;34.92;34.93;34.90;34.92;34.91;34.93;34.92;34.94;34.91;34.89;34.90;34.92;34.95;34.92;34.90;34.91;34.92;34.94;34.91;34.90;34.93;34.92;34.95;34.90;34.93;34.91,491.99;491.99;491.98;492.02;492.05;492.08;492.02;492.01;492.03;492.07;492.11;492.02;492.08;492.09;492.07;492.02;492.04;492.08;492.04;492.05;492.09;492.06;492.07;492.06;492.06;492.08;492.10;492.05;492.06;492.04;FAIL;35.04;35.05;35.04;35.06;35.06;35.06;35.06;35.06;35.06;35.07;35.06;35.06;35.05;35.05;35.05;35.06;35.04;35.06;35.06;35.06;35.07;35.06;35.05;35.05;35.05;35.05;35.07;35.06;35.06;35.05;35.05;35.06;35.06;35.06;35.05;35.06;35.05;35.05;35.05;35.09;35.12;35.11;35.08;35.10;35.12;35.09;35.08;35.08;35.06;35.09;35.07;35.08;35.08;35.06;35.09;35.09;35.08;35.07;35.09;35.09;35.08;35.09;35.07;35.08;35.07;35.09;35.08;35.09;35.08;35.08;35.11;35.08;35.08;35.09,209.74;209.87;209.41;209.97;209.60;209.42;209.68;209.19;207.56;208.84;213.34;209.18;209.78;210.68;206.74;212.94;209.73;209.17;209.88;209.49;209.81;208.92;209.94;209.14;209.19;209.06;209.25;209.80;209.13;209.02;FAIL;14.89;14.97;15.00;14.98;14.95;14.78;14.99;14.68;14.97;14.94;14.75;14.93;14.91;14.97;14.97;14.92;14.98;14.90;14.98;14.96;14.98;14.92;14.89;14.95;14.98;14.93;14.93;14.86;14.95;14.91;14.95;14.96;14.95;14.91;14.91;14.93;14.89;14.89;14.94;14.99;15.23;14.98;14.98;14.94;14.90;14.92;14.92;14.96;14.94;14.92;14.95;14.92;14.97;14.72;14.94;14.94;14.96;15.03;15.01;14.93;14.94;14.89;14.96;14.97;14.76;15.00;15.00;14.94;14.93;14.65;14.92;14.95;14.80;14.90,209.46;208.38;208.03;208.71;209.15;209.99;209.06;209.10;209.59;209.70;209.12;210.49;209.35;209.89;208.69;210.29;209.42;208.93;209.69;209.82;205.09;208.30;209.61;209.09;209.86;209.22;208.99;209.07;208.46;209.03;FAIL;14.93;14.97;15.11;14.94;14.72;15.01;14.89;14.71;14.95;14.95;14.92;14.86;14.91;14.88;14.91;14.86;14.95;14.91;14.97;14.82;14.88;14.88;14.93;14.90;14.88;14.98;14.92;14.97;14.84;14.85;14.88;14.87;14.90;15.00;14.93;14.90;14.87;14.92;14.96;14.91;15.10;14.89;14.90;14.91;14.89;15.30;14.93;14.91;14.92;14.89;14.69;14.90;14.89;14.95;15.00;14.93;14.88;14.93;14.80;14.86;14.72;14.91;14.88;15.13;14.88;14.86;14.93;14.95;14.92;15.17;14.93;14.61;14.83;14.89
