Benchmark,Build,N,Mean(s),StdDev(s),Min(s),Max(s)
binarytrees.wasm,purecap-hw,31,10.7623,0.00497305,10.75,10.77
binarytrees.wasm,purecap-hw-sw,31,10.771,0.00538816,10.76,10.78
binarytrees.wasm,native-sw,31,4.52742,0.0106357,4.51,4.55
binarytrees.wasm,native-nocheck,31,4.51226,0.0374797,4.38,4.59
fannkuch.wasm,purecap-hw,31,7.93097,0.00396219,7.92,7.94
fannkuch.wasm,purecap-hw-sw,31,7.95097,0.00538816,7.95,7.98
fannkuch.wasm,native-sw,31,3.33903,0.0256066,3.25,3.44
fannkuch.wasm,native-nocheck,31,3.34097,0.0146867,3.32,3.39
knucleotide.wasm,purecap-hw,31,6.01032,0.00179605,6.01,6.02
knucleotide.wasm,purecap-hw-sw,31,6.02,0,6.02,6.02
knucleotide.wasm,native-sw,31,2.55968,0.00752058,2.54,2.57
knucleotide.wasm,native-nocheck,31,2.55806,0.00833441,2.54,2.57
mandelbrot.wasm,purecap-hw,31,7.10032,0.00314523,7.09,7.11
mandelbrot.wasm,purecap-hw-sw,31,7.10903,0.00472923,7.1,7.12
mandelbrot.wasm,native-sw,31,3.01677,0.017774,3,3.1
mandelbrot.wasm,native-nocheck,31,3.01323,0.0284473,2.93,3.09
memory_copy.wasm,purecap-hw,31,2.85129,0.00562254,2.85,2.88
memory_copy.wasm,purecap-hw-sw,31,2.86065,0.00249731,2.86,2.87
memory_copy.wasm,native-sw,31,1.22645,0.00709384,1.21,1.24
memory_copy.wasm,native-nocheck,31,1.22258,0.00773207,1.2,1.23
revcomp.wasm,purecap-hw,31,0.29,0,0.29,0.29
revcomp.wasm,purecap-hw-sw,31,0.29,0,0.29,0.29
revcomp.wasm,native-sw,31,0.12,0,0.12,0.12
revcomp.wasm,native-nocheck,31,0.12,0,0.12,0.12
