Build,Benchmark,Mean(s),StdDev(s)
native-sw,mandelbrot.wasm,3.0150,0.0071
purecap-hw,binarytrees.wasm,10.8200,0.0000
native-nocheck,binarytrees.wasm,4.5150,0.0495
native-nocheck,mandelbrot.wasm,3.0100,0.0000
purecap-sw,binarytrees.wasm,10.8400,0.0000
purecap-hw,mandelbrot.wasm,7.1000,0.0000
native-sw,binarytrees.wasm,4.5600,0.0141
purecap-hw-sw,mandelbrot.wasm,7.1050,0.0071
purecap-nocheck,mandelbrot.wasm,7.1000,0.0000
purecap-sw,mandelbrot.wasm,7.1050,0.0071
purecap-hw-sw,binarytrees.wasm,10.8400,0.0000
purecap-nocheck,binarytrees.wasm,10.8200,0.0000
