Build,Benchmark,Real(s)
purecap-hw,binarytrees.wasm,10.76
purecap-hw,mandelbrot.wasm,7.10
purecap-sw,binarytrees.wasm,10.77
purecap-sw,mandelbrot.wasm,7.11
purecap-hw-sw,binarytrees.wasm,10.76
purecap-hw-sw,mandelbrot.wasm,7.10
purecap-nocheck,binarytrees.wasm,10.76
purecap-nocheck,mandelbrot.wasm,7.10
native-sw,binarytrees.wasm,4.53
native-sw,mandelbrot.wasm,3.01
native-nocheck,binarytrees.wasm,4.51
native-nocheck,mandelbrot.wasm,3.02
purecap-hw,binarytrees.wasm,10.76
purecap-hw,mandelbrot.wasm,7.10
purecap-sw,binarytrees.wasm,10.76
purecap-sw,mandelbrot.wasm,7.11
purecap-hw-sw,binarytrees.wasm,10.76
purecap-hw-sw,mandelbrot.wasm,7.11
purecap-nocheck,binarytrees.wasm,10.76
purecap-nocheck,mandelbrot.wasm,7.10
native-sw,binarytrees.wasm,4.54
native-sw,mandelbrot.wasm,3.01
native-nocheck,binarytrees.wasm,4.52
native-nocheck,mandelbrot.wasm,3.01
purecap-hw,binarytrees.wasm,10.76
purecap-hw,mandelbrot.wasm,7.10
purecap-sw,binarytrees.wasm,10.77
purecap-sw,mandelbrot.wasm,7.11
purecap-hw-sw,binarytrees.wasm,10.77
purecap-hw-sw,mandelbrot.wasm,7.10
purecap-nocheck,binarytrees.wasm,10.76
purecap-nocheck,mandelbrot.wasm,7.10
native-sw,binarytrees.wasm,4.52
native-sw,mandelbrot.wasm,3.01
native-nocheck,binarytrees.wasm,4.59
native-nocheck,mandelbrot.wasm,3.00
purecap-hw,binarytrees.wasm,10.76
purecap-hw,mandelbrot.wasm,7.10
purecap-sw,binarytrees.wasm,10.78
purecap-sw,mandelbrot.wasm,7.11
purecap-hw-sw,binarytrees.wasm,10.77
purecap-hw-sw,mandelbrot.wasm,7.11
purecap-nocheck,binarytrees.wasm,10.76
purecap-nocheck,mandelbrot.wasm,7.10
native-sw,binarytrees.wasm,4.53
native-sw,mandelbrot.wasm,3.02
native-nocheck,binarytrees.wasm,4.53
native-nocheck,mandelbrot.wasm,3.02
purecap-hw,binarytrees.wasm,10.76
purecap-hw,mandelbrot.wasm,7.10
purecap-sw,binarytrees.wasm,10.77
purecap-sw,mandelbrot.wasm,7.11
purecap-hw-sw,binarytrees.wasm,10.77
purecap-hw-sw,mandelbrot.wasm,7.11
purecap-nocheck,binarytrees.wasm,10.76
purecap-nocheck,mandelbrot.wasm,7.10
native-sw,binarytrees.wasm,4.70
native-sw,mandelbrot.wasm,3.02
native-nocheck,binarytrees.wasm,4.51
native-nocheck,mandelbrot.wasm,3.03
